y,x
84.306,568.352
148.356,400.268
215.822,410.572
233.756,330.716
269.624,387.388
313.178,479.48
152.199,523.916
163.728,315.904
235.037,391.896
194.472,375.152
127.006,351.968
134.692,122.06
293.109,382.236
83.879,255.368
171.414,421.52
224.789,391.896
285.85,291.432
213.26,445.992
183.37,319.768
51,397.048
404.556,627.6
179.954,484.632
263.646,473.684
290.547,521.984
419.501,315.904
192.337,350.68
270.051,578.656
201.304,505.24
51,644.988
160.312,626.312
311.842,255.824
166.235,200.44
253.77,226.2
55.642,233.928
111.152,107.704
109.444,83.232
135.064,80.012
289.211,194
275.547,113.5
140.615,318.292
151.717,330.528
141.042,382.048
144.885,414.892
270.85,114.144
250.781,631.276
270.423,504.408
190.147,277.72
60.766,208.168
88.948,104.484
321.236,168.24
81.317,333.936
83.025,319.768
76.193,248.284
247.847,441.484
60.821,509.748
61.248,594.112
165.863,312.04
220.946,263.096
138.535,520.052
169.279,550.964
97.97,630.82
145.367,599.908
135.546,455.652
62.102,594.112
103.521,388.676
70.642,239.268
104.802,344.24
140.243,391.896
166.717,407.996
83.879,242.488
189.775,331.36
115.05,666.884
145.367,284.348
192.764,243.132
206.001,304.956
290.547,543.236
132.13,521.34
143.659,556.76
109.072,199.34
140.243,497.512
116.331,518.12
142.805,422.164
109.072,354.544
148.356,474.328
132.13,467.888
140.243,487.852
129.141,633.396
103.948,263.096
169.279,349.392
150.918,354.544
75.766,488.496
118.466,76.98
121.028,341.02
166.717,532.932
113.769,410.572
226.924,292.076
369.115,439.552
387.049,525.204
133.411,398.336
140.67,373.22
201.731,398.98
180.808,475.616
191.056,355.188
270.905,507.172
132.13,672.68
113.769,642.412
109.072,252.792
294.817,530.356
236.318,397.692
264.073,453.72
182.943,606.992
127.006,494.936
204.293,342.308
268.77,521.984
106.937,268.248
180.381,436.332
165.863,411.216
202.585,482.056
201.731,518.12
136.827,415.724
258.095,514.256
238.88,395.116
305.492,310.752
247.42,344.884
196.18,324.92
180.808,519.408
253.825,541.304
297.379,389.32
284.569,344.884
189.775,391.252
267.489,345.528
274.321,341.664
263.646,545.168
190.202,428.604
247.847,394.472
223.508,384.168
235.891,395.76
249.982,503.952
236.318,461.448
109.072,306.888
248.701,282.416
